Id,Element,Language,Meaning,Frequency
636,"the edge of a hill, an escarpment.",Modern English,,9
637,port,Modern English,A port.,1
638,fælging,Old English,A harrow.,1
639,bȳ,Old Norse,"A farmstead, a village.",475
640,Franca,Old English,"A Frank, a Frenchman.  Also used as a personal-name.",1
641,fūl,Old English,"Foul, dirty.",14
642,gof C,Modern English,,1
643,geit,Old Norse,A goat.,6
644,Personal,name (Old Norse) Old Norse,Personal name,1
645,golde,Old English,"A marigold, a marsh marigold.",7
646,Personal,name (Uncertain) Unknown,Personal name,1
647,gorst-trēow,Old English,A gorse bush,1
648,perhaps a juniper-tree.,Modern English,,1
649,Personal,name (Old Norse) Old Norse,Personal name,1
650,grōp,Old English,"A ditch, a drain.",1
651,næss Old English,Modern English,,23
652,bōc,Old English,A beech-tree.,13
653,melr,Old Norse,"A sand-bank, a sand-hill.",13
654,hāðel,Old English,A heathery place.,4
655,hān,Old English,"A hone, a stone, a boundary-stone, a rock.",10
656,hæslen,Old English,Growing with hazel-trees.,2
657,hægtesse,Old English,A witch.,3
658,hagu-þorn,Old English,"The hawthorn, the whitethorn.",10
659,hēah-dēor,Old English,"A stag, a deer.",2
660,hjallr,Old Norse,A hut,1
661,a hut on a mountain-side pasture,Modern English,,1
662,a place which might serve as the site of such a hut,Modern English,,1
663,a mountain-side ledge or shelf.,Modern English,,1
664,hǣmed,Old English,"A household, a society",1
665,cohabitation.,Modern English,,1
666,pēac,Old English,"A knoll, a hill, a peak.",6
667,hæsel,Old English,A hazel-tree.,24
668,holegn,Old English,Holly.,11
669,pēl,Middle English,"A palisade, a stockade",2
670,"a moat, a moated site",Modern English,,2
671,a moated and stockaded fortified house.,Modern English,,2
672,hūne,Old English,Hoarhound.,3
673,steort,Old English,A tail,5
674,"a tail or tongue of land, the end of a piece of land, a projecting piece of land.",Modern English,,5
675,hunta,Old English,"A hunter, a huntsman.",8
676,hunting,Old English,Hunting.,2
677,hyrdel,Old English,"A hurdle, a wicker-work frame.",2
678,ïnïs C,Modern English,,4
679,Íri,Old Norse,An Irishman,8
680,probably also a Norseman who had lived in Ireland.,Modern English,,8
681,Personal,name (Old Norse) Old Norse,Personal name,1
682,Personal,name (Uncertain) Unknown,Personal name,1
683,Personal,name (Old Norse) Old Norse,Personal name,1
684,Personal,name (Old Norse) Old Norse,Personal name,1
685,lache,Middle English,"A stream, a bog",1
686,"a boggy stream, a stream in a bog.",Modern English,,1
687,lann C,Modern English,,39
688,lāwerce,Old English,A lark.,4
689,bold,Old English,A building.,1
690,carreg C,Modern English,,2
691,en C,Modern English,,2
692,lïs C,Modern English,,7
693,hlōse,Old English,A pig-sty,5
694,"probably originally a shed, a shelter.",Modern English,,5
695,Personal,name (Uncertain) Unknown,Personal name,1
696,wīðig,Old English,A willow-tree,26
697,a withy.,Modern English,,27
698,lemano- C,Modern English,,2
699,hlimme,Old English,"A (noisy) stream, a (resounding) torrent.",1
700,forest,Middle English,"A large tract of woodland, a forest.",6
701,ffin C,Modern English,,1
702,maes C,Modern English,,2
703,mal,Old French,Bad.,2
704,pas,Old French,A passage.,1
705,mǣre,Old English,"A boundary, a border",29
706,(in field names) the balk of a ploughland.,Modern English,,29
707,pyll,Old English,A tidal creek,7
708,possibly also a small stream.,Modern English,,7
709,mearð,Old English,"A marten, a weasel.",8
710,mailo- C,Modern English,,2
711,mikill,Old Norse,"Big, great.",3
712,mōt,Old English,"A meeting, an encounter: used of an assembly of people, or a river confluence.",9
713,munuc,Old English,A monk.,29
714,peru,Old English,"A pear, the fruit of the pear-tree.",8
715,mos,Old English,"A bog, a swamp",6
716,"presumably also moss.  Only recorded once, in charter boundaries dating from 975.",Modern English,,6
717,sǣ,Old English,A lake,31
718,"sea.  Usually means ""sea"" when used as a first element, and ""lake"" when used as a second element.",Modern English,,31
719,set,Old English,"A dwelling, a camp, a place for animals, a stable, a fold.",21
720,dalr,Old Norse,A valley.,48
721,mōtere,Old English,A speaker at an assembly.,3
722,rūm,Old English,"Room, space, an open space, a clearing",8
723,an alloted space of common land or turbary.,Modern English,,8
724,Personal,name (Uncertain) Unknown,Personal name,1
725,molda,Old English,The crown of the head.,1
726,mūl,Old English,A mule.,10
727,named,Middle English,"Renowned, well-known",1
728,known by name.,Modern English,,1
729,neoðera,Old English,Lower. (No positive form.),25
730,ból,Old Norse,"A dwelling, a homestead.",1
731,leirr,Old Norse,"Mud, clay.",1
732,cnocc,Old English,A hillock.,3
733,tírim C,Modern English,,1
734,rod,Old English,A clearing.,9
735,alor,Old English,An alder-tree.,33
736,āna,Old English,"Lonely.  (Difficult to distinguish from ān, ""one, single"".",3
737,inferior,Latin,Lower.,5
738,superior,Latin,"Higher, upper.",6
739,plūme,Old English,A plum,13
740,a plum-tree.,Modern English,,18
741,potte,Middle English,"A deep hole, a pit, a deep hole in a river-bed, a pot(-hole).",2
742,scrīc,Old English,"A shrike, a missel-thrush.",1
743,pull,Old English,A pool.,10
744,spitel,Middle English,"A hospital, a religious house, a house of the Knights Hospitallers.",5
745,mare,Latin,The sea.,3
746,rá,Old Norse,"A roe, a roe-buck.",5
747,rydd,Old English,Cleared (of trees).,2
748,rāp,Old English,A rope,1
749,an administrative district,Modern English,,1
750,a measure of land.,Modern English,,1
751,Personal,name (Old Norse) Old Norse,Personal name,1
752,rūde,Old English,Rue (the shrub).,3
753,rysc,Old English,A rush,22
754,"in the simplex plural, a place where rushes grow, a rush bed.",Modern English,,22
755,seofon,Old English,Seven.,8
756,stīg,Old English,"A path, a narrow road.  (Especially an ascending path.)",6
757,sceot,Old English,A shooting,7
758,a rapid movement.,Modern English,,7
759,scorf,Old English,"Scurf, scum.",1
760,sūðan,Old English,"South, southerly.",3
761,smæl,Old English,"Narrow, thin.",3
762,bōthe,Middle English,"A temporary shelter, a covered market-stall.",7
763,sumor,Old English,Summer.,11
764,spor,Old English,"A spoor, a track, a footprint.",1
765,spura,Old English,A spur,1
766,a spur of land.,Modern English,,1
767,þyrel,Old English,"A hole, an opening.",4
768,stæf,Old English,"A staff, a stave, a rod.",6
769,stocc,Old English,"A tree-trunk, a stump, a log of wood, a stock (esp. in boundary marks or place-names that denote structures made of logs)",24
770,a set of stocks as an engine of punishment.,Modern English,,24
771,ēcels Old English,Modern English,,3
772,storð,Old Norse,"A young wood, a plantation, land growing with brushwood.",2
773,stórr,Old Norse,"Big, great.",1
774,stubb,Old English,"A stub, a tree-stump.",5
775,þorpere,Old English,Someone who lives at a thorp,1
776,a peasant.,Modern English,,1
777,wēl Old English,Modern English,,5
778,þing-vǫllr,Old Norse,"A field where an assembly met, a meeting-place.",1
779,þrēap,Old English,"A dispute, a quarrel, a contention.",2
780,Personal,name (Old Norse) Old Norse,Personal name,1
781,timber,Old English,"Timber, trees",6
782,a wooden building.,Modern English,,6
783,twisla,Old English,"The fork of a river, the junction of two streams.",7
784,þengel,Old English,A prince.,1
785,trani,Old Norse,A crane (the bird).,3
786,tusshe,Middle English,"A tuft, a tussock.",2
787,twēgen,Old English,Two.,1
788,tȳdring,Old English,"Production, propagation, proliferation",1
789,"stock-breeding, cattle-raising.",Modern English,,1
790,walh Old English,Modern English,,47
791,wellere Old English,Modern English,,1
792,Wǣrburg,Old English,Feminine personal name.,1
793,wæfre,Old English,"Unstable, restless, wandering.",5
794,u̯erno- C,Modern English,,1
795,weorf,Old English,A beast of burden,4
796,cattle.,Modern English,,4
797,wifer,Old English,"Shaking, quaking.",1
798,kirkju-býr,Old Norse,A village with a church.,33
799,wēt,Old English,"Wet, damp.",5
800,wilde-bār,Old English,A wild boar.,1
801,betwēonan,Old English,"Between, amongst.",3
802,wīc-tūn,Old English,An enclosure with a dwelling,4
803,a settlment with or at a factory.,Modern English,,4
804,banke Old Norse,Modern English,,2
805,fyrhð,Old English,A wood,9
806,"land overgrown with brushwood, scrub on the edge of forest.  (Uncertain)",Modern English,,9
807,wrenna,Old English,A wren.,3
808,alter C,Modern English,,1
809,bod C,Modern English,,3
810,Personal,name (Uncertain) Unknown,Personal name,1
811,menehi C,Modern English,,1
812,boia,Old English,"A boy, a servant.",4
813,eglēs C,Modern English,,7
814,calu,Old English,"Bald, bare, lacking vegetation.",8
815,bronn C,Modern English,,1
816,cam C,Modern English,,1
817,dinan C,Modern English,,1
818,ker C,Modern English,,1
819,Personal,name (Uncertain) Unknown,Personal name,1
820,dew C,Modern English,,1
821,logh C,Modern English,,1
822,heyl C,Modern English,,2
823,mūða,Old English,"The mouth of a large river, an estuary.",28
824,fore-burg,Old English,An out-work.,1
825,goel C,Modern English,,1
826,nant C,Modern English,,3
827,grant,Old French,"Great, big.",2
828,pont,Old French,A bridge.,1
829,hen C,Modern English,,1
830,hen-lys C,Modern English,,1
831,gwynn C,Modern English,,2
832,keyn C,Modern English,,1
833,kylgh C,Modern English,,1
834,to- C,Modern English,,3
835,lannergh C,Modern English,,1
836,Personal,name (Uncertain) Unknown,Personal name,1
837,neved C,Modern English,,1
838,Personal,name (Uncertain) Unknown,Personal name,1
839,Personal,name (Uncertain) Unknown,Personal name,1
840,nans C,Modern English,,3
841,gwyth C,Modern English,,1
842,Personal,name (Uncertain) Unknown,Personal name,1
843,lys C,Modern English,,2
844,nowydh C,Modern English,,1
845,Personal,name (Uncertain) Unknown,Personal name,1
846,Personal,name (Uncertain) Unknown,Personal name,1
847,sans C,Modern English,,4
848,Personal,name (Uncertain) Unknown,Personal name,1
849,Personal,name (Uncertain) Unknown,Personal name,1
850,gwthyel C,Modern English,,2
851,lost C,Modern English,,1
852,-an C,Modern English,,2
853,lusow C,Modern English,,1
854,log C,Modern English,,1
855,Personal,name (Uncertain) Unknown,Personal name,1
856,Personal,name (Uncertain) Unknown,Personal name,1
857,magoer C,Modern English,,1
858,managh C,Modern English,,4
859,byghan C,Modern English,,1
860,marghas C,Modern English,,1
861,-ek C,Modern English,,5
862,ma C,Modern English,,1
863,Personal,name (Uncertain) Unknown,Personal name,1
864,merther C,Modern English,,1
865,hag C,Modern English,,1
866,bedh C,Modern English,,1
867,mǭr C,Modern English,,8
868,mor C,Modern English,,1
869,plu C,Modern English,,1
870,penn rynn C,Modern English,,1
871,ar C,Modern English,,1
872,goethel C,Modern English,,1
873,in,Latin,In.,1
874,sabulo,Latin,Sand.,1
875,pīl,Old English,"A spike, an arrow, a shaft, a pile.",6
876,Personal,name (Uncertain) Unknown,Personal name,1
877,pohha,Old English,"A pouch, a bag.",6
878,pund,Old English,"A pound, an enclosure into which stray cattle were put.",3
879,cuid C,Modern English,,1
880,hrama,Old English,"A post, a barrier.",1
881,rïd C,Modern English,,6
882,rudh C,Modern English,,1
883,rocher,Old French,"A rock, a rocky place.",1
884,Personal,name (Uncertain) Unknown,Personal name,1
885,salt Old English,Modern English,,19
886,sevi C,Modern English,,1
887,hagi,Old Norse,"A grazing enclosure, a pasture.",1
888,nes,Old Norse,"A ness, a headland, a promontory. (Used for larger areas than the Old English word naess.)",9
889,Personal,name (Uncertain) Unknown,Personal name,1
890,dinas C,Modern English,,1
891,ros C,Modern English,,5
892,kevyll C,Modern English,,1
893,-yel C,Modern English,,2
894,stras C,Modern English,,1
895,tal C,Modern English,,3
896,temple,Middle English,A temple,10
897,usually in allusion to properties of the Knights Templar.,Modern English,,10
898,din C,Modern English,,11
899,tagell C,Modern English,,1
900,Personal,name (Uncertain) Unknown,Personal name,1
901,tre C,Modern English,,9
902,Personal,name (Uncertain) Unknown,Personal name,1
903,men C,Modern English,,1
904,an C,Modern English,,1
905,scaw C,Modern English,,1
906,Personal,name (Uncertain) Unknown,Personal name,1
907,Personal,name (Uncertain) Unknown,Personal name,1
908,berow C,Modern English,,1
909,try- C,Modern English,,1
910,tiʒ C,Modern English,,1
911,trêth C,Modern English,,1
912,war C,Modern English,,1
913,-i C,Modern English,,1
914,elergh C,Modern English,,1
915,gor- C,Modern English,,1
916,Matravers Unknown,Modern English,,1
917,eik,Old Norse,An oak-tree.,6
918,einstapi,Old Norse,"Fern, bracken.",1
919,hlið,Old English,"A slope, a hill-side.",7
920,cappella,Latin,"Chapel, church.",1
921,omni,Latin,"All, every, whole.",1
922,sancio,Latin,Consecrate,1
923,to make hallowed.,Modern English,,1
924,Personal,name (Uncertain) Unknown,Personal name,1
925,gil Old Norse,Modern English,,4
926,Personal,name (Old Norse) Old Norse,Personal name,1
927,Personal,name (Uncertain) Unknown,Personal name,1
928,lacu,Old English,"A small stream, a watercourse.",16
929,Personal,name (Old Norse) Old Norse,Personal name,1
930,askr,Old Norse,An ash-tree.,19
931,Personal,name (Uncertain) Unknown,Personal name,1
932,Personal,name (Uncertain) Unknown,Personal name,1
933,þveit,Old Norse,"A clearing, a meadow, a paddock.",32
934,bel,Old French,"Fair, beautiful.",10
935,mont,Old French,"Hill, mountain.",1
936,bekkr,Old Norse,"A stream, a beck.",20
937,ermite,Middle English,A hermit.,1
938,mót,Old Norse,"A meeting, an encounter: used of an assembly of people, or a river-confluence.",1
939,vrá,Old Norse,"A nook, a corner of land.",7
940,bū,Old English,A dwelling.,2
941,garðr,Old Norse,An enclosure.,5
942,búð Old Norse,Modern English,,4
943,birki,Old Norse,A place overgrown with birch-trees,3
944,a birch copse,Modern English,,3
945,a birch.,Modern English,,3
946,Personal,name (Old Norse) Old Norse,Personal name,1
947,blain C,Modern English,,5
948,cog C,Modern English,,1
949,hey,Old Norse,Hay.,1
950,kirkja,Old Norse,A church.,51
951,land,Old Norse,Land (as part of earth's surface),1
952,"new arable area.  In minor and field names: strip in a field-system.  In Scandinavian names: land by water or by a river, a shore.",Modern English,,4
953,sǽtr,Old Norse,"A mountain pasture, a shieling.",8
